image,pupil_center_x,pupil_center_y,pupil_radius,status
bryanl3.bmp,147,134,20,ok
bryanl4.bmp,132,94,22,ok
bryanl5.bmp,166,107,22,ok
bryanr1.bmp,168,106,27,ok
bryanr2.bmp,195,112,25,ok
bryanr3.bmp,203,132,26,ok
bryanr4.bmp,180,136,24,ok
bryanr5.bmp,134,129,24,ok
masl1.bmp,162,154,25,ok
masl2.bmp,210,120,24,ok
masl3.bmp,196,145,25,ok
masl4.bmp,173,139,24,ok
masl5.bmp,166,136,23,ok
masr1.bmp,168,127,35,ok
masr2.bmp,180,149,22,ok
masr3.bmp,177,146,21,ok
masr4.bmp,177,148,21,ok
masr5.bmp,157,150,22,ok
mazwanl1.bmp,178,122,23,ok
mazwanl2.bmp,162,117,23,ok
mazwanl3.bmp,157,107,23,ok
mazwanl4.bmp,159,132,22,ok
mazwanl5.bmp,145,129,21,ok
mazwanr1.bmp,158,125,24,ok
mazwanr2.bmp,146,115,25,ok
mazwanr3.bmp,158,122,25,ok
mazwanr4.bmp,142,118,25,ok
mazwanr5.bmp,151,131,26,ok
chingycl1.bmp,186,96,23,ok
chingycl2.bmp,162,99,48,ok
chingycl3.bmp,171,121,21,ok
chingycl4.bmp,175,123,21,ok
chingycl5.bmp,179,115,21,ok
chingycr1.bmp,169,124,23,ok
chingycr2.bmp,181,110,20,ok
chingycr3.bmp,179,122,20,ok
chingycr4.bmp,165,117,22,ok
chingycr5.bmp,149,118,22,ok
chongpkl1.bmp,162,115,22,ok
chongpkl2.bmp,199,116,29,ok
chongpkl3.bmp,172,117,24,ok
chongpkl4.bmp,161,121,24,ok
chongpkl5.bmp,177,129,22,ok
chongpkr1.bmp,136,113,25,ok
chongpkr2.bmp,181,121,23,ok
chongpkr3.bmp,160,117,27,ok
chongpkr4.bmp,160,117,28,ok
chongpkr5.bmp,179,127,26,ok
christinel1.bmp,153,114,23,ok
christinel2.bmp,154,117,24,ok
christinel3.bmp,174,111,25,ok
christinel4.bmp,173,133,21,ok
christinel5.bmp,181,128,24,ok
christiner1.bmp,154,121,24,ok
christiner2.bmp,197,116,22,ok
christiner3.bmp,189,105,22,ok
christiner4.bmp,187,103,21,ok
christiner5.bmp,193,117,21,ok
chualsl1.bmp,170,100,21,ok
chualsl2.bmp,154,99,23,ok
chualsl3.bmp,167,112,21,ok
chualsl4.bmp,151,111,23,ok
chualsl5.bmp,207,119,21,ok
chualsr1.bmp,161,122,26,ok
chualsr2.bmp,162,118,24,ok
chualsr3.bmp,166,117,24,ok
chualsr4.bmp,167,108,25,ok
chualsr5.bmp,158,106,25,ok
eugenehol1.bmp,173,115,21,ok
eugenehol2.bmp,186,112,27,ok
eugenehol3.bmp,171,114,27,ok
eugenehol4.bmp,160,117,29,ok
eugenehol5.bmp,174,127,29,ok
eugenehor1.bmp,158,124,21,ok
eugenehor2.bmp,156,114,20,ok
eugenehor3.bmp,164,119,20,ok
eugenehor4.bmp,142,132,34,ok
eugenehor5.bmp,159,126,23,ok
fatmal1.bmp,143,147,21,ok
fatmal2.bmp,180,118,20,ok
fatmal3.bmp,185,130,22,ok
fatmal4.bmp,178,140,22,ok
fatmal5.bmp,186,126,21,ok
fatmar1.bmp,158,106,20,ok
fatmar2.bmp,147,137,25,ok
fatmar3.bmp,165,124,20,ok
fatmar4.bmp,167,132,25,ok
fatmar5.bmp,170,127,21,ok
