image,pupil_center_x,pupil_center_y,pupil_radius,iris_radius,status
christiner2.bmp,197,116,22,43,ok
christiner3.bmp,189,105,22,43,ok
christiner4.bmp,187,103,21,41,ok
christiner5.bmp,193,117,21,41,ok
chualsl1.bmp,170,100,21,41,ok
chualsl2.bmp,154,99,23,44,ok
chualsl3.bmp,167,112,21,41,ok
chualsl4.bmp,151,111,23,44,ok
chualsl5.bmp,207,119,21,41,ok
chualsr1.bmp,161,122,26,50,ok
chualsr2.bmp,162,118,24,46,ok
chualsr3.bmp,166,117,24,46,ok
chualsr4.bmp,167,108,25,48,ok
chualsr5.bmp,158,106,25,48,ok
eugenehol1.bmp,173,115,21,38,ok
eugenehol2.bmp,186,112,27,52,ok
eugenehol3.bmp,171,114,27,52,ok
eugenehol4.bmp,160,117,29,55,ok
eugenehol5.bmp,174,127,29,55,ok
eugenehor1.bmp,158,124,21,41,ok
eugenehor2.bmp,156,114,20,39,ok
eugenehor3.bmp,164,119,20,39,ok
eugenehor4.bmp,142,132,34,64,ok
eugenehor5.bmp,159,126,23,44,ok
fatmal1.bmp,143,147,21,41,ok
fatmal2.bmp,180,118,20,39,ok
fatmal3.bmp,185,130,22,43,ok
fatmal4.bmp,178,140,22,43,ok
fatmal5.bmp,186,126,21,41,ok
fatmar1.bmp,158,106,20,39,ok
fatmar2.bmp,147,137,25,48,ok
fatmar3.bmp,165,124,20,39,ok
fatmar4.bmp,167,132,25,48,ok
fatmar5.bmp,170,127,21,41,ok
